Requirement,Label,Reason,Corrected_Requirement
"If the inventory count for a specific SKU drops below the defined reorder threshold, the system shall generate a purchase order in 'Draft' status.",NO,,"If the inventory count for a specific SKU drops below the defined reorder threshold, the system shall generate a purchase order in 'Draft' status."
"The API shall validate that the 'email' field in the request body matches the standard email regex pattern before processing the registration.",NO,,"The API shall validate that the 'email' field in the request body matches the standard email regex pattern before processing the registration."
"The system shall support the rotation of API keys every 90 days and allow the simultaneous use of the old key for a 24-hour grace period.",NO,,"The system shall support the rotation of API keys every 90 days and allow the simultaneous use of the old key for a 24-hour grace period."
"The application shall log a 'User Login' event to the audit trail including the User ID, IP Address, User Agent string, and Success/Failure status.",NO,,"The application shall log a 'User Login' event to the audit trail including the User ID, IP Address, User Agent string, and Success/Failure status."
"The system shall limit the display of search results to the top 100 matches sorted by relevance score in descending order.",NO,,"The system shall limit the display of search results to the top 100 matches sorted by relevance score in descending order."
"The mobile application shall store the authentication token in the device's secure keystore (iOS Keychain or Android Keystore) rather than local storage.",NO,,"The mobile application shall store the authentication token in the device's secure keystore (iOS Keychain or Android Keystore) rather than local storage."
"The system shall calculate the shipping weight by summing the weight of all items in the cart plus 0.5 kg for packaging materials.",NO,,"The system shall calculate the shipping weight by summing the weight of all items in the cart plus 0.5 kg for packaging materials."
"The web application shall include the 'Content-Security-Policy' HTTP header in all responses to restrict the sources of executable scripts.",NO,,"The web application shall include the 'Content-Security-Policy' HTTP header in all responses to restrict the sources of executable scripts."
"If the user clicks the 'Unsubscribe' link, the system shall update the 'Email_Opt_Out' flag to 'True' in the database immediately.",NO,,"If the user clicks the 'Unsubscribe' link, the system shall update the 'Email_Opt_Out' flag to 'True' in the database immediately."
"The API shall return the current server time in ISO 8601 format (UTC) when the /time endpoint is queried.",NO,,"The API shall return the current server time in ISO 8601 format (UTC) when the /time endpoint is queried."
"The system shall support the creation of sub-accounts linked to a master account, up to a maximum depth of 3 hierarchical levels.",NO,,"The system shall support the creation of sub-accounts linked to a master account, up to a maximum depth of 3 hierarchical levels."
"The application shall compress all static assets (CSS, JS) using the Brotli algorithm before serving them to the client browser.",NO,,"The application shall compress all static assets (CSS, JS) using the Brotli algorithm before serving them to the client browser."
"The database shall execute a trigger to update the 'Modified_At' timestamp whenever a row in the 'Products' table is updated.",NO,,"The database shall execute a trigger to update the 'Modified_At' timestamp whenever a row in the 'Products' table is updated."
"The system shall allow the user to download a ZIP archive containing all their uploaded documents upon request via the profile settings.",NO,,"The system shall allow the user to download a ZIP archive containing all their uploaded documents upon request via the profile settings."
"The API shall ignore any query parameters that are not defined in the OpenAPI 3.0 specification document for that endpoint.",NO,,"The API shall ignore any query parameters that are not defined in the OpenAPI 3.0 specification document for that endpoint."
"The system shall verify that the total sum of the 'Percentage' column in the budget allocation table equals exactly 100 before allowing the save.",NO,,"The system shall verify that the total sum of the 'Percentage' column in the budget allocation table equals exactly 100 before allowing the save."
"The application shall display a modal confirmation dialog with 'Yes' and 'No' buttons when the user attempts to delete a project.",NO,,"The application shall display a modal confirmation dialog with 'Yes' and 'No' buttons when the user attempts to delete a project."
"The system shall support the routing of support tickets to specific queues based on the 'Category' field selected by the user.",NO,,"The system shall support the routing of support tickets to specific queues based on the 'Category' field selected by the user."
"The database shall enforce a unique constraint on the combination of 'Order_ID' and 'Product_ID' in the 'Order_Items' table.",NO,,"The database shall enforce a unique constraint on the combination of 'Order_ID' and 'Product_ID' in the 'Order_Items' table."
"The system shall send a webhook POST request to the configured URL with a JSON payload whenever a new invoice is generated.",NO,,"The system shall send a webhook POST request to the configured URL with a JSON payload whenever a new invoice is generated."
"The application shall retry network requests that fail with a 502 or 504 status code up to 3 times with a 1-second delay.",NO,,"The application shall retry network requests that fail with a 502 or 504 status code up to 3 times with a 1-second delay."
"The system shall allow the user to filter the user list by 'Role' (Admin, Editor, Viewer) using a dropdown menu.",NO,,"The system shall allow the user to filter the user list by 'Role' (Admin, Editor, Viewer) using a dropdown menu."
